stratum,Temp C,Precip mm,Cheatgrass,Cattle,Homesteading,d180,date range,TLCd18o,TLCd18oSD
1,0.093459067,568.0476368,1,1,1,-35.383,467,30.47,0.1
2,0.093459067,568.0476368,1,1,1,-35.383,467,30.47,0.1
3,0.011714215,566.1592094,0,1,1,-35.37375,373,30.4,0.1
4,0.011714215,566.1592094,0,1,1,-35.37375,373,30.4,0.1
5,0.00590429,567.5414444,0,0,0,-35.378793,1392,30.2,0.13
6,0.00590429,567.5414444,0,0,0,-35.378793,1392,30.2,0.13
7,0.061173259,577.3898734,0,0,0,-35.255,485,30.36,0.05
9,-0.082399877,583.2582875,0,0,0,-35.29,888,30.32,0.1
10,0.012802872,578.4834871,0,0,0,-35.059818,1302,30.03,0.15
12,-0.095664017,580.3455714,0,0,0,-34.954167,524,29.29,0.19
14,-0.042971627,584.4257871,0,0,0,-34.877193,1407,29.15,0.15
16,-0.221565359,584.9753107,0,0,0,-34.769342,1840,29.02,0.1
17,-0.21382472,586.8843915,0,0,0,-34.682931,1401,28.75,0.09
18,-0.21382472,586.8843915,0,0,0,-34.682931,1401,28.75,0.09
19,-0.307742774,584.2870721,0,0,0,-34.728197,2929,28.21,0.27
20,-0.307742774,584.2870721,0,0,0,-34.728197,2929,28.21,0.27
