Stratum,DMCS,DMPC,PMCS,PMPC,PLCS,PLPC,CFCS,CFPC,NLCS,NLPC,NCCS,NCPC
1,23.08938773,1.010124785,16.33315634,0.991726707,13.327984,1.021589437,16.00011021,1.022595139,30.30208222,0.994898702,32.78199,0.98176864
2,23.7490172,0.996339018,16.0207795,1.00E+00,12.20159333,1.021589437,15.86435172,1.014102852,29.95794811,1.000616803,32.78199,0.98176864
3,24.40864667,0.999722816,15.70840267,1.000952445,13.327985,1.003588382,15.72859323,1.005610565,29.613814,1.006334903,30.5727275,1.00751782
4,23.91875498,0.981585636,16.15416318,0.997831305,13.25676921,1.004491515,15.59283473,1.003935622,29.47365175,0.999744756,28.363465,1.033267
5,24.00362387,0.976384652,16.59992369,0.99851671,13.22116132,0.988085755,15.45707624,1.002260679,29.3334895,0.993154609,26.86675,1.06128392
6,24.08849276,1.015855779,16.5551754,1.002200879,13.18555343,0.980334442,15.93632605,0.998403191,27.63225,0.985876839,25.645905,0.78941317
7,23.9284158,0.953046487,16.51042711,0.996080975,13.11433764,0.972583129,15.8684468,0.994545704,29.053165,0.979974314,24.42506,1.04787554
9,23.76833884,1.03537254,16.68855908,1.006699964,13.04312185,1.005394647,16.27981737,1.014525161,29.44390667,0.999869883,24.42506,1.04787554
10,23.66795562,0.983098226,16.86669104,1.004494043,13.03037667,1.018958466,16.4298365,0.975548861,28.46991,1.009731011,21.98337,1.03446716
12,23.45768705,0.930823913,15.15218333,1.016047787,12.88685833,0.992455885,16.13994742,0.989197798,27.51612833,28.51612833,21.98337,1.03446716
14,23.24741848,0.947596916,16.55391019,0.994532401,12.74334,0.999237794,16.57985564,1.020070089,29.15978,1.022607907,21.98337,1.03446716
16,22.9869583,0.964369919,16.39751976,0.995679073,12.45630333,0.979517122,16.00007747,1.002846736,25.58835,0.989185211,21.98337,1.03446716
17,22.9869583,0.981142923,15.87814733,0.973017015,12.45630333,0.979517122,16.72987478,1.014230877,29.84965,1.035484803,21.98337,1.03446716
18,22.85672822,0.981142923,16.24112933,0.996825745,12.45630333,0.979517122,16.80488435,1.025615018,29.84965,1.035484803,21.98337,1.03446716
19,22.72649813,0.997915926,16.60411133,0.988393084,12.45630333,0.979517122,16.87989391,1.008294171,29.84965,1.035484803,21.98337,1.03446716
20,22.7264981,0.997915926,16.60411133,0.996228804,12.45630333,0.979517122,16.87989391,1.008294171,29.84965,1.035484803,21.98337,1.03446716
