Stratum,CS,PC,
1,23.08938773,1.010124785,DM
2,23.7490172,0.996339018,DM
3,24.40864667,0.999722816,DM
4,23.91875498,0.981585636,DM
5,24.00362387,0.976384652,DM
6,24.08849276,1.015855779,DM
7,23.9284158,0.953046487,DM
9,23.76833884,1.03537254,DM
10,23.66795562,0.983098226,DM
12,23.45768705,0.930823913,DM
14,23.24741848,0.947596916,DM
16,22.9869583,0.964369919,DM
17,22.9869583,0.981142923,DM
18,22.85672822,0.981142923,DM
19,22.72649813,0.997915926,DM
20,22.7264981,0.997915926,DM
1,16.33315634,0.991726707,PM
2,16.0207795,1.00E+00,PM
3,15.70840267,1.000952445,PM
4,16.15416318,0.997831305,PM
5,16.59992369,0.99851671,PM
6,16.5551754,1.002200879,PM
7,16.51042711,0.996080975,PM
9,16.68855908,1.006699964,PM
10,16.86669104,1.004494043,PM
12,15.15218333,1.016047787,PM
14,16.55391019,0.994532401,PM
16,16.39751976,0.995679073,PM
17,15.87814733,0.973017015,PM
18,16.24112933,0.996825745,PM
19,16.60411133,0.988393084,PM
20,16.60411133,0.996228804,PM
1,13.327984,1.021589437,PL
2,12.20159333,1.021589437,PL
3,13.327985,1.003588382,PL
4,13.25676921,1.004491515,PL
5,13.22116132,0.988085755,PL
6,13.18555343,0.980334442,PL
7,13.11433764,0.972583129,PL
9,13.04312185,1.005394647,PL
10,13.03037667,1.018958466,PL
12,12.88685833,0.992455885,PL
14,12.74334,0.999237794,PL
16,12.45630333,0.979517122,PL
17,12.45630333,0.979517122,PL
18,12.45630333,0.979517122,PL
19,12.45630333,0.979517122,PL
20,12.45630333,0.979517122,PL
1,16.00011021,1.022595139,CF
2,15.86435172,1.014102852,CF
3,15.72859323,1.005610565,CF
4,15.59283473,1.003935622,CF
5,15.45707624,1.002260679,CF
6,15.93632605,0.998403191,CF
7,15.8684468,0.994545704,CF
9,16.27981737,1.014525161,CF
10,16.4298365,0.975548861,CF
12,16.13994742,0.989197798,CF
14,16.57985564,1.020070089,CF
16,16.00007747,1.002846736,CF
17,16.72987478,1.014230877,CF
18,16.80488435,1.025615018,CF
19,16.87989391,1.008294171,CF
20,16.87989391,1.008294171,CF
1,30.30208222,0.994898702,NL
2,29.95794811,1.000616803,NL
3,29.613814,1.006334903,NL
4,29.47365175,0.999744756,NL
5,29.3334895,0.993154609,NL
6,27.63225,0.985876839,NL
7,29.053165,0.979974314,NL
9,29.44390667,0.999869883,NL
10,28.46991,1.009731011,NL
12,27.51612833,1.007555,NL
14,29.15978,1.022607907,NL
16,25.58835,0.989185211,NL
17,29.84965,1.035484803,NL
18,29.84965,1.035484803,NL
19,29.84965,1.035484803,NL
20,29.84965,1.035484803,NL
1,32.78199,0.98176864,NC
2,32.78199,0.98176864,NC
3,30.5727275,1.00751782,NC
4,28.363465,1.033267,NC
5,26.86675,1.06128392,NC
6,25.645905,0.78941317,NC
7,24.42506,1.04787554,NC
9,24.42506,1.04787554,NC
10,21.98337,1.03446716,NC
12,21.98337,1.03446716,NC
14,21.98337,1.03446716,NC
16,21.98337,1.03446716,NC
17,21.98337,1.03446716,NC
18,21.98337,1.03446716,NC
19,21.98337,1.03446716,NC
20,21.98337,1.03446716,NC
