"","data.super.Csize"
"0",17.9508989390839
"1",20.6482545901684
"2",21.1338374632224
"3",22.1478693914911
"4",25.10450444365
"5",25.6296555796821
"6",22.9841067963997
"7",24.7475702998304
"8",24.5249181248341
"9",22.0238009186735
"10",25.0886180934444
"11",25.0886180934444
"12",22.3853289327548
"13",25.3338682983516
"14",25.537489078643
"15",18.6215520572125
"16",21.5941682117193
"17",21.3487711963291
"18",26.3646239352737
"19",26.3646239352737
"20",26.3646239352737
"21",24.5579573579756
"22",22.1821612188041
"23",21.4393757998147
"24",22.2764476257286
"25",25.3609183409963
"26",25.5885740518234
