"","Stratum","DMCS","DMSS","PMCS","PMSS","PLCS","PLSS","CFCS","CFSS","NLCS","NLSS","NCCS","NCSS","DMECS","DMCESS"
"1",1,23.08938773,0.051256516,16.33315634,-0.070689154,13.327984,-0.005173681,16.00011021,0.026149463,30.30208222,-0.052847002,32.78199,-0.073433088,18.04801,0.085058052
"2",2,23.7490172,0.060322469,16.0207795,-0.0615,12.20159333,-0.005173681,15.86435172,0.029140044,29.95794811,-0.057395591,32.78199,-0.073433088,18.13915,0.094645655
"3",3,24.40864667,0.060322469,15.70840267,-0.061271552,13.327985,0.00424266,15.72859323,0.032130625,29.613814,-0.061944179,30.5727275,-0.0714514,18.1639475,0.085871372
"4",4,23.91875498,0.060401859,16.15416318,-0.073433088,13.25676921,0.003661508,15.59283473,0.032830251,29.47365175,-0.061398605,28.363465,-0.069469712,17.570465,0.096938113
"5",5,24.00362387,0.060481249,16.59992369,-0.061769811,13.22116132,0.005364515,15.45707624,0.033529878,29.3334895,-0.06085303,26.86675,-0.065506337,18.37246,0.099594981
"6",6,24.08849276,0.065014226,16.5551754,-0.066808095,13.18555343,0.007067521,15.93632605,0.02787901,27.63225,-0.059761882,25.645905,-0.064515493,17.970245,0.102251849
"7",7,23.9284158,0.057505389,16.51042711,-0.063187962,13.11433764,0.011718948,15.8684468,0.022228141,29.053165,-0.058670733,24.42506,-0.057579585,17.70986,0.088623635
"8",9,23.76833884,0.069705982,16.68855908,-0.060063581,13.04312185,0.010473534,16.27981737,0.024852139,29.44390667,-0.057579585,24.42506,-0.057579585,18.214285,0.092481524
"9",10,23.66795562,0.061857749,16.86669104,-0.073078126,13.03037667,0.020425297,16.4298365,0.041948864,28.46991,-0.05528478,21.98337,-0.00528478,17.21155333,0.09964553
"10",12,23.45768705,0.054009516,15.15218333,-0.072185127,12.88685833,0.016474438,16.13994742,0.036837306,27.51612833,-0.056557722,21.98337,-0.00528478,16.74756167,0.097798056
"11",14,23.24741848,0.038313049,16.55391019,-0.070308137,12.74334,0.012523578,16.57985564,0.036837306,29.15978,-0.057932821,21.98337,-0.00528478,16.28357,0.095950583
"12",16,22.9869583,0.065541972,16.39751976,-0.068431147,12.45630333,0.004621859,16.00007747,0.031725748,25.58835,-0.057830664,21.98337,-0.00528478,16.58531333,0.093292
"13",17,22.9869583,0.0713082,15.87814733,-0.066554157,12.45630333,0.004621859,16.72987478,0.025591388,29.84965,-0.060580863,21.98337,-0.00528478,16.88705667,0.097714838
"14",18,22.85672822,0.0713082,16.24112933,-0.064677167,12.45630333,0.004621859,16.80488435,0.019457028,29.84965,-0.060580863,21.98337,-0.00528478,17.09468583,0.099926256
"15",19,22.72649813,0.077074429,16.60411133,-0.077176271,12.45630333,0.004621859,16.87989391,0.035680825,29.84965,-0.060580863,21.98337,-0.00528478,17.302315,0.102137675
"16",20,22.7264981,0.077074429,16.60411133,-0.067921648,12.45630333,0.004621859,16.87989391,0.035680825,29.84965,-0.060580863,21.98337,-0.00528478,17.302315,0.077485103
